i,1.160094976425171
k,1.365675926208496
m,1.750452995300293
m,0.8908190727233887
m,0.7928509712219238
m,0.8165280818939209
m,0.8289251327514648
m,0.8770201206207275
m,1.217484951019287
m,0.7580277919769287
z,1.0674610137939453
m,0.8385009765625
m,0.9710547924041748
z,0.946969747543335
m,0.9556410312652588
z,1.0689280033111572
z,1.233989953994751
m,0.6551051139831543
m,0.9011859893798828
m,0.7212817668914795
m,1.1993389129638672
m,0.8851501941680908
z,1.843419075012207
m,1.166280746459961
z,1.3220670223236084
m,1.4709930419921875
m,1.4413061141967773
z,2.198945999145508
z,1.4566941261291504
z,1.8732919692993164
m,1.5503242015838623
m,0.8498580455780029
m,0.8000597953796387
z,1.6628317832946777
z,1.4505071640014648
z,1.5665740966796875
z,2.50325608253479
z,2.5495080947875977
z,1.8666439056396484
z,1.9844400882720947
m,0.7123703956604004
m,0.5920999050140381
z,2.61313796043396
