,3.4078829288482666
z,5.184900760650635
z,4.639746904373169
m,7.745323896408081
z,3.8761160373687744
m,4.135513782501221
z,5.1224000453948975
m,4.018905878067017
m,2.049765110015869
z,4.217149972915649
z,3.2055842876434326
z,3.2119879722595215
z,3.1843678951263428
z,1.9605088233947754
z,3.534467935562134
z,2.892951726913452
z,2.4519989490509033
z,2.534248113632202
z,4.136345863342285
z,3.2127301692962646
z,2.428940773010254
z,1.1156728267669678
z,2.2019410133361816
z,2.0258212089538574
z,1.21108078956604
z,2.070112943649292
z,2.38924503326416
z,2.688331127166748
z,2.3451220989227295
z,2.3780059814453125
z,1.9558401107788086
m,2.6784918308258057
m,2.540050983428955
z,2.450076103210449
z,1.9666979312896729
z,1.8169441223144531
z,1.47672700881958
z,1.5861148834228516
z,0.663701057434082
z,0.625438928604126
z,0.642052173614502
z,1.0649309158325195
z,0.6136541366577148
