,7.412909030914307
m,1.006187915802002
z,1.151458978652954
m,1.5907988548278809
m,0.9798610210418701
m,0.7712759971618652
m,0.8799057006835938
m,0.729118824005127
m,1.0934500694274902
m,1.0667760372161865
z,0.8810920715332031
m,0.9746570587158203
z,0.9027159214019775
z,2.2846248149871826
m,0.7491679191589355
z,1.1749451160430908
z,0.9445900917053223
m,0.7048342227935791
m,0.8830070495605469
m,1.173137903213501
m,1.0411169528961182
z,0.725085973739624
z,1.2194058895111084
m,1.271470069885254
z,0.8784339427947998
m,1.1548421382904053
m,0.8753561973571777
z,0.7886130809783936
z,0.7696318626403809
z,0.7049970626831055
m,0.6536059379577637
m,1.1964788436889648
m,0.8696870803833008
z,0.9912130832672119
z,1.4611539840698242
z,0.8532600402832031
z,0.7366740703582764
z,0.8108499050140381
z,0.566072940826416
z,1.2118089199066162
m,0.626474142074585
m,1.1413309574127197
z,0.9722588062286377
