Image Number, Size, Density, Response, Time3,2, -1, 1, 1.4341309070587158
2,1, -1, 1, 1.5874571800231934
1,0, -1, 1, 0.9409370422363281
5,1, -1, 1, 1.0339090824127197
4,0, -1, 1, 1.2067608833312988
6,2, -1, 1, 0.820958137512207
7,0, -1, 1, 1.0308098793029785
16,0, 1, 1, 1.750870943069458
17,1, 1, 1, 1.192741870880127
29,1, 0, 0, 1.6813359260559082
15,2, 1, 1, 2.0550830364227295
14,1, 1, 1, 2.4640791416168213
28,0, 0, 1, 1.6556129455566406
10,0, -1, 1, 5.334494113922119
38,0, 0, 0, 1.5563080310821533
39,0, 0, 0, 1.4328241348266602
11,1, -1, 1, 0.9057109355926514
13,0, 1, 1, 1.4344191551208496
12,2, -1, 1, 0.9362540245056152
23,1, 1, 1, 1.9738409519195557
37,0, 0, 0, 1.28985595703125
36,2, 0, 0, 1.6147477626800537
22,0, 1, 1, 1.9758059978485107
34,0, 0, 0, 2.320399761199951
20,1, 1, 1, 0.6469769477844238
21,2, 1, 1, 1.8613178730010986
35,1, 0, 0, 1.0487620830535889
31,0, 0, 0, 1.0130870342254639
25,0, 0, 0, 1.1886658668518066
19,0, 1, 1, 0.6775250434875488
18,2, 1, 1, 1.4569690227508545
24,2, 1, 1, 0.994744062423706
30,2, 0, 0, 2.540329933166504
26,1, 0, 0, 0.9203770160675049
32,1, 0, 0, 1.3866539001464844
33,2, 0, 0, 2.31903076171875
27,2, 0, 0, 1.8239619731903076
40,0, 0, 0, 1.0575659275054932
41,0, 0, 0, 2.691046953201294
9,2, -1, 1, 0.7306451797485352
8,1, -1, 1, 0.8788080215454102
42,0, 0, 0, 1.3277308940887451
