,1.1199262142181396
m,3.8917181491851807
m,0.7290220260620117
m,0.6983299255371094
m,0.7747130393981934
m,0.752190351486206
m,0.6982460021972656
z,0.7966899871826172
z,0.7007501125335693
z,0.9426209926605225
z,1.6072380542755127
z,1.4521641731262207
m,1.3422248363494873
m,1.0105581283569336
m,1.6270289421081543
m,0.9152100086212158
z,2.064202070236206
m,0.8205671310424805
z,0.7117471694946289
z,1.1705830097198486
z,2.1345369815826416
z,1.3715991973876953
z,0.8524413108825684
m,1.113232135772705
z,1.1194939613342285
z,1.0688831806182861
m,2.0068230628967285
z,1.3752319812774658
z,0.8859939575195312
z,0.5967330932617188
m,1.1666879653930664
m,1.4296767711639404
m,0.9940531253814697
m,1.218641996383667
z,1.1588819026947021
z,0.6172099113464355
z,0.5476729869842529
z,0.6199939250946045
z,0.49878478050231934
z,0.4207797050476074
m,0.6430618762969971
m,0.7190651893615723
z,0.760861873626709
